rewards,   timestep
0.170278637771, 645
0.149253731343, 1382
0.208333333333, 2150
0.113122171946, 2592
0.0899742930591, 2981
0.256813417191, 3935
0.243902439024, 4550
0.142276422764, 5042
0.281124497992, 5789
0.219976218787, 6630
0.194489465154, 7247
0.365752285952, 8450
0.20749665328, 9197
0.0277777777778, 9737
0.191358024691, 10547
0.147058823529, 11057
0.1875, 11617
0.0308641975309, 12103
0.119485294118, 12647
0.187969924812, 13312
0.232683982684, 14236
0.113895216401, 14675
0.0534759358289, 15049
0.325476992144, 15940
0.0774336283186, 16392
0.412436548223, 17180
0.270618556701, 17568
0.174262734584, 17941
0.288065843621, 18670
0.171957671958, 19048
0.195618153365, 19687
0.178571428571, 20247
0.0692307692308, 20897
0.378352490421, 21941
0.17578125, 22453
0.128479657388, 23387
0.160642570281, 23885
0.249196141479, 24507
0.289655172414, 25232
0.143229166667, 25616
0.257668711656, 26431
0.324561403509, 27001
0.215517241379, 27697
0.18927444795, 28331
0.0782472613459, 28970
0.290889132821, 29881
0.204872646733, 30784
0.226130653266, 31381
0.149051490515, 31750
0.245901639344, 32299
0.221052631579, 33249
0.128571428571, 33599
0.205792682927, 34255
0.0635208711434, 34806
0.126705653021, 35319
0.218160377358, 36167
0.243531202435, 36824
0.212389380531, 37389
0.190909090909, 37939
0.153764581124, 38882
0.0319488817891, 39508
0.154711673699, 40219
0.182625863771, 41232
0.160098522167, 41638
0.196451204056, 42427
0.251168224299, 43283
0.237191650854, 43810
0.249419953596, 44672
0.144057623049, 45505
0.258620689655, 46085
0.236641221374, 46740
0.140597539543, 47309
0.237529691211, 48151
0.463169642857, 49047
0.19801980198, 49754
0.261519302615, 50557
0.225225225225, 51223
0.199275362319, 52051
0.0883838383838, 52447
0.321027287319, 53070
0.0363636363636, 53620
0.3, 54020
0.0413223140496, 54504
0.276729559748, 55299
0.15813253012, 55963
0.185929648241, 56958
0.148698884758, 57496
0.0788091068301, 58067
0.070281124498, 58565
0.197368421053, 59097
0.163447251114, 59770
0.168711656442, 60422
0.226666666667, 60797
0.307848443843, 62275
0.157232704403, 62752
0.27972027972, 63324
0.287735849057, 64384
0.0642054574639, 65007
0.132911392405, 65797
0.142140468227, 66395
0.251865671642, 66931
0.182648401826, 67588
0.20987654321, 67993
0.186104218362, 68396
0.259365994236, 69090
0.121293800539, 69461
0.283185840708, 70026
0.209143968872, 71054
0.47619047619, 71915
0.147601476015, 72457
0.078125, 72841
0.118670886076, 73473
0.180541624875, 74470
0.211565585331, 75179
0.226928895613, 75840
0.229445506692, 76363
0.153733528551, 77046
0.211267605634, 77685
0.189873417722, 78159
0.0602409638554, 78740
0.185185185185, 79712
0.399568034557, 80638
0.346740638003, 82080
0.125418060201, 82678
0.225563909774, 83077
0.0987432675045, 83634
0.165165165165, 84300
0.229508196721, 85215
0.205843293493, 85968
0.191693290735, 86594
0.101214574899, 87088
0.182432432432, 87828
0.112275449102, 88496
0.212620027435, 89225
0.179521276596, 89977
0.099173553719, 90582
0.0778546712803, 91160
0.227272727273, 91798
0.283018867925, 92646
0.0877192982456, 93045
0.48125, 93845
0.159680638723, 94847
0.151306740028, 95574
0.15037593985, 96106
0.118343195266, 96782
0.446058091286, 97746
0.144995322732, 98815
0.349807445443, 100373
0.264483627204, 101564
0.208747514911, 102067
0.138121546961, 102429
0.345710627401, 103210
0.220238095238, 104050
0.188821752266, 104712
0.199146514936, 105415
0.230312035661, 106088
0.160965794769, 106585
0.200411099692, 107558
0.23307436182, 108459
0.172084130019, 108982
0.173310225303, 109559
0.142857142857, 110329
0.232919254658, 110973
0.0946142649199, 111660
0.223429951691, 112488
0.267983074753, 113197
0.159189580318, 113888
0.176730486009, 114567
0.206794682422, 115244
0.22349936143, 116027
0.0762527233115, 116486
0.193992490613, 117285
0.239520958084, 117786
0.364826941066, 118855
0.208581644815, 119694
0.160714285714, 120534
0.489543726236, 121586
0.267639902676, 122408
0.104408352668, 122839
0.149647887324, 123407
0.373679935012, 124638
0.25, 125378
0.241379310345, 125813
0.262267343486, 126404
0.296875, 127044
0.154264972777, 127595
0.223152022315, 128312
0.46186440678, 129492
0.104166666667, 130068
0.186125211506, 130659
0.248990578735, 131402
0.147835269271, 132349
0.201149425287, 132871
0.139240506329, 133266
0.0589390962672, 133775
0.239043824701, 134528
0.155440414508, 135300
0.344387755102, 135692
0.10162601626, 136430
0.280898876404, 136875
0.0995575221239, 137327
0.408970976253, 138085
0.170239596469, 138878
0.251497005988, 139713
0.230855855856, 140601
0.237613751264, 141590
0.0966608084359, 142159
0.253067484663, 142811
0.147058823529, 143559
0.149625935162, 143960
0.191218130312, 144666
0.135802469136, 145071
0.154320987654, 145557
0.254452926209, 145950
0.124688279302, 146351
0.374753451677, 147365
0.269865067466, 148032
0.25974025974, 148571
0.111876075731, 149152
0.212765957447, 149669
0.253246753247, 150439
0.317965023847, 151697
0.257903494176, 152298
0.111683848797, 152880
0.190409026798, 153589
0.155778894472, 154584
0.190641247834, 155161
0.206270627063, 155767
0.241336633663, 156575
0.188284518828, 157531
0.125313283208, 157930
0.132978723404, 158306
0.192, 158931
0.231689088191, 159600
0.147575544624, 161023
0.230202578269, 161566
0.176803394625, 162273
0.0919117647059, 162817
0.203094777563, 163334
0.303921568627, 163844
0.547945205479, 164501
0.170239596469, 165294
0.228813559322, 165884
0.225060827251, 166706
0.319001386963, 167427
0.153153153153, 167982
0.255354200988, 168589
0.34649122807, 169729
0.314136125654, 170493
0.102880658436, 170979
0.13468013468, 171573
0.0745033112583, 172177
0.156950672646, 172846
