rewards, time step
0.177631578947, 759
0.0895140664962, 1150
0.112781954887, 1815
0.409134157945, 2866
0.219298245614, 3550
0.138067061144, 4057
0.0674157303371, 4502
0.316582914573, 5497
0.083932853717, 5914
0.148698884758, 6452
0.245901639344, 7306
0.0480769230769, 7930
0.177705977383, 8549
0.148205928237, 9190
0.1593323217, 9849
0.133451957295, 10411
0.133555926544, 11010
0.237569060773, 11915
0.386740331492, 13182
0.292682926829, 13797
0.0553505535055, 14339
0.488201790073, 15568
0.290472501936, 16859
0.110497237569, 17402
0.14367816092, 17924
0.125418060201, 18522
0.205735660848, 19324
0.313432835821, 20329
0.21327014218, 20962
0.0112612612613, 21406
0.16846361186, 22148
0.176565008026, 22771
0.249003984064, 23273
0.22962962963, 23948
0.122767857143, 24396
0.260869565217, 25201
0.1026957638, 25980
0.257037943696, 26797
0.161987041037, 27260
0.188866799205, 28769
0.297184567258, 29728
0.214757709251, 30636
0.0296442687747, 31142
0.292008196721, 32118
0.196548418025, 33161
0.118811881188, 33666
0.284153005464, 34581
0.17749244713, 35905
0.223325062035, 36711
0.384231536926, 37713
0.110169491525, 38303
0.124069478908, 39109
0.259365994236, 39803
0.213219616205, 40741
0.162481536189, 41418
0.117878192534, 41927
0.158898305085, 42399
0.210727969349, 43182
0.213197969543, 44167
0.19427402863, 44656
0.125725338491, 45173
0.301455301455, 46135
0.200517464424, 46908
0.183823529412, 47588
0.204678362573, 48101
0.226986128625, 48894
0.228613569322, 49572
0.25459688826, 50279
0.164576802508, 50917
0.165615141956, 51551
0.202265372168, 52169
0.261003070624, 53146
0.102669404517, 53633
0.278404815651, 54962
0.212912087912, 55690
0.185676392573, 56444
0.445757250269, 57375
0.22602739726, 58105
0.120481927711, 58769
0.252808988764, 59481
0.138004246285, 59952
0.174545454545, 61327
0.255681818182, 62031
0.138190954774, 62429
0.225563909774, 62961
0.247641509434, 63809
0.281306715064, 64360
0.191717791411, 65012
0.198938992042, 65766
0.199485199485, 66543
0.0806451612903, 66977
0.348993288591, 67722
0.208596713021, 68513
0.2738336714, 69006
0.126903553299, 69400
0.21568627451, 69910
0.232558139535, 70426
0.149700598802, 70927
0.173745173745, 71704
0.180412371134, 72092
0.102803738318, 72627
0.1171875, 73523
0.181451612903, 74267
0.0923482849604, 74646
0.206270627063, 75252
0.268691588785, 76108
0.162962962963, 76783
0.20749665328, 77530
0.377813504823, 78774
0.11690647482, 79330
0.176565008026, 79953
0.254237288136, 80366
0.263157894737, 81164
0.444059976932, 82031
0.0498007968127, 82533
0.224489795918, 83023
0.030534351145, 83678
0.205714285714, 84553
0.224887556222, 85220
0.147783251232, 86032
0.158415841584, 86537
0.157657657658, 87203
0.196540880503, 87839
0.0943396226415, 88210
0.234636871508, 89105
0.193798449612, 89750
0.355535553555, 90861
0.11780104712, 91243
0.101851851852, 91783
0.174772036474, 92441
0.188383045526, 93078
0.196506550218, 93994
0.238095238095, 94498
0.1875, 94898
0.281146637266, 95805
0.238461538462, 96455
0.178335535007, 97212
0.257668711656, 98027
0.325704225352, 98595
0.178926441352, 99098
0.274841437632, 100044
0.148975791434, 100581
0.328125, 101221
0.21377672209, 102063
0.251677852349, 102659
0.409356725146, 103172
0.286168521463, 103801
0.223988439306, 104493
0.121173469388, 105277
0.193992490613, 106076
0.118829981718, 106623
0.174418604651, 107225
0.125944584383, 107622
0.0891265597148, 108183
0.0909090909091, 108678
0.309210526316, 109438
0.184911242604, 110114
0.168453292496, 110767
0.205655526992, 111545
0.225563909774, 112476
0.264705882353, 112986
0.221811460259, 113527
0.215633423181, 113898
0.205198358413, 114629
0.196202531646, 115419
0.316973415133, 115908
0.0956937799043, 116535
0.247349823322, 117384
0.257510729614, 118083
0.221752903907, 119030
0.291902071563, 119561
0.191956124314, 120108
0.238938053097, 120673
0.257352941176, 121489
0.286432160804, 122484
0.264505119454, 123070
0.24557956778, 123579
0.230473751601, 124360
0.250855188141, 125237
0.170454545455, 125941
0.249702734839, 126782
0.269679300292, 127468
0.147265077139, 128181
0.0802139037433, 128555
0.3342366757, 129662
0.248322147651, 130407
0.117773019272, 130874
0.326594090202, 131517
0.0910931174089, 132011
0.206666666667, 132761
0.214689265537, 133646
0.205288796103, 135083
0.204081632653, 135671
0.226928895613, 136332
0.261437908497, 137250
0.0582362728785, 137851
0.168421052632, 138326
0.223325062035, 139132
0.205655526992, 139521
0.290556900726, 140347
0.0680272108844, 140788
0.275707898659, 141459
0.136138613861, 141863
0.166139240506, 142495
0.207373271889, 143363
0.242718446602, 143878
0.291375291375, 144307
0.54441260745, 145005
0.230769230769, 145460
0.280811232449, 146101
0.207345971564, 146945
0.164179104478, 147615
0.15, 148315
0.24064171123, 149063
0.100619195046, 149709
0.193014705882, 150253
0.199115044248, 151157
0.11811023622, 151665
0.171568627451, 152073
0.282131661442, 152711
0.178399228544, 153748
0.236486486486, 154636
0.224637681159, 155326
0.130890052356, 155899
0.162601626016, 156391
0.126582278481, 156786
0.26582278481, 157576
0.184523809524, 158416
0.616332819723, 159065
0.232704402516, 159860
0.364157119476, 161082
0.233160621762, 161468
0.441176470588, 162862
0.135746606335, 163525
0.162337662338, 164295
0.0797448165869, 164922
0.184135977337, 165275
0.186464088398, 165999
0.276497695853, 166650
0.36293766012, 167821
0.207564575646, 168905
0.357852882704, 169408
0.254237288136, 170352
0.125944584383, 170749
0.187416331995, 171496
0.420512820513, 172471
0.15, 172871
0.227686703097, 173420
0.154639175258, 174196
0.23784901758, 175163
0.19052523172, 176134
0.173076923077, 176914
0.232044198895, 177819
